193.3s 356 Epoch:1/51 || Epochiter: 110/202 || Iter: 110/10302 || Loc: 1.9579 Cla: 2.6408 Landm: 9.0101 || LR: 0.00100000 || Batchtime: 0.8953 s || ETA: 2:32:05
194.2s 357 Epoch:1/51 || Epochiter: 111/202 || Iter: 111/10302 || Loc: 2.0962 Cla: 2.7849 Landm: 9.1733 || LR: 0.00100000 || Batchtime: 0.7079 s || ETA: 2:00:15
197.4s 358 Epoch:1/51 || Epochiter: 112/202 || Iter: 112/10302 || Loc: 2.2654 Cla: 2.7872 Landm: 9.9603 || LR: 0.00100000 || Batchtime: 2.9920 s || ETA: 8:28:11
198.4s 359 Epoch:1/51 || Epochiter: 113/202 || Iter: 113/10302 || Loc: 2.0507 Cla: 2.6286 Landm: 8.3873 || LR: 0.00100000 || Batchtime: 0.7527 s || ETA: 2:07:50
199.3s 360 Epoch:1/51 || Epochiter: 114/202 || Iter: 114/10302 || Loc: 2.2203 Cla: 2.7317 Landm: 10.0598 || LR: 0.00100000 || Batchtime: 0.7003 s || ETA: 1:58:55
200.1s 361 Epoch:1/51 || Epochiter: 115/202 || Iter: 115/10302 || Loc: 1.9579 Cla: 2.6231 Landm: 8.2708 || LR: 0.00100000 || Batchtime: 0.6302 s || ETA: 1:47:00
203.0s 362 Epoch:1/51 || Epochiter: 116/202 || Iter: 116/10302 || Loc: 2.1620 Cla: 2.8127 Landm: 9.1061 || LR: 0.00100000 || Batchtime: 2.6561 s || ETA: 7:30:57
203.8s 363 Epoch:1/51 || Epochiter: 117/202 || Iter: 117/10302 || Loc: 1.8870 Cla: 2.6006 Landm: 7.5849 || LR: 0.00100000 || Batchtime: 0.6227 s || ETA: 1:45:43
204.9s 364 Epoch:1/51 || Epochiter: 118/202 || Iter: 118/10302 || Loc: 1.9397 Cla: 2.6362 Landm: 7.4503 || LR: 0.00100000 || Batchtime: 0.8621 s || ETA: 2:26:20
205.8s 365 Epoch:1/51 || Epochiter: 119/202 || Iter: 119/10302 || Loc: 1.9107 Cla: 2.7147 Landm: 8.0435 || LR: 0.00100000 || Batchtime: 0.7957 s || ETA: 2:15:03
208.5s 366 Epoch:1/51 || Epochiter: 120/202 || Iter: 120/10302 || Loc: 1.9786 Cla: 2.7163 Landm: 9.0035 || LR: 0.00100000 || Batchtime: 2.4912 s || ETA: 7:02:47
209.6s 367 Epoch:1/51 || Epochiter: 121/202 || Iter: 121/10302 || Loc: 2.3160 Cla: 2.8332 Landm: 10.2627 || LR: 0.00100000 || Batchtime: 0.8497 s || ETA: 2:24:11
210.5s 368 Epoch:1/51 || Epochiter: 122/202 || Iter: 122/10302 || Loc: 2.3166 Cla: 2.9038 Landm: 9.2140 || LR: 0.00100000 || Batchtime: 0.7048 s || ETA: 1:59:35
211.4s 369 Epoch:1/51 || Epochiter: 123/202 || Iter: 123/10302 || Loc: 2.2703 Cla: 2.7111 Landm: 8.7532 || LR: 0.00100000 || Batchtime: 0.7653 s || ETA: 2:09:51
214.6s 370 Epoch:1/51 || Epochiter: 124/202 || Iter: 124/10302 || Loc: 1.9473 Cla: 2.6121 Landm: 7.5575 || LR: 0.00100000 || Batchtime: 2.9253 s || ETA: 8:16:16
215.4s 371 Epoch:1/51 || Epochiter: 125/202 || Iter: 125/10302 || Loc: 1.7489 Cla: 2.6047 Landm: 7.1625 || LR: 0.00100000 || Batchtime: 0.6644 s || ETA: 1:52:42
216.4s 372 Epoch:1/51 || Epochiter: 126/202 || Iter: 126/10302 || Loc: 2.0921 Cla: 2.6889 Landm: 8.2132 || LR: 0.00100000 || Batchtime: 0.7106 s || ETA: 2:00:32
217.5s 373 Epoch:1/51 || Epochiter: 127/202 || Iter: 127/10302 || Loc: 1.9786 Cla: 2.6458 Landm: 8.4606 || LR: 0.00100000 || Batchtime: 0.9153 s || ETA: 2:35:13
220.3s 374 Epoch:1/51 || Epochiter: 128/202 || Iter: 128/10302 || Loc: 2.1061 Cla: 2.6397 Landm: 7.7777 || LR: 0.00100000 || Batchtime: 2.6175 s || ETA: 7:23:52
221.4s 375 Epoch:1/51 || Epochiter: 129/202 || Iter: 129/10302 || Loc: 1.9675 Cla: 2.6204 Landm: 8.0032 || LR: 0.00100000 || Batchtime: 0.8704 s || ETA: 2:27:35
222.3s 376 Epoch:1/51 || Epochiter: 130/202 || Iter: 130/10302 || Loc: 1.9800 Cla: 2.6426 Landm: 7.5277 || LR: 0.00100000 || Batchtime: 0.6874 s || ETA: 1:56:33
